GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G0100030011406,Alabama,11406,3331,0,0
G0100030011408,Alabama,11408,708,0,0
G0100090050400,Alabama,50400,4637,0,0
G0100150001300,Alabama,1300,2112,0,0
G0100150981901,Alabama,981901,8,0,0
G0100430964100,Alabama,964100,6076,0,0
G0100430964200,Alabama,964200,7424,0,0
G0100430964400,Alabama,964400,4573,0,0
G0100430964700,Alabama,964700,5272,0,0
G0100430964800,Alabama,964800,4481,0,0
G0100430965100,Alabama,965100,3475,0,0
G0100430965600,Alabama,965600,1915,0,0
G0100490960100,Alabama,960100,5903,0,0
G0100550010601,Alabama,10601,5149,0,0
G0100550010602,Alabama,10602,3780,0,0
G0100550011001,Alabama,11001,4699,0,0
G0100590973100,Alabama,973100,2565,0,0
G0100590973400,Alabama,973400,2752,0,0
G0100590973500,Alabama,973500,2186,0,0
G0100590973600,Alabama,973600,1595,0,0
G0100710950100,Alabama,950100,6210,0,0
G0100710951000,Alabama,951000,4422,0,0
G0100730012911,Alabama,12911,5661,0,0
G0100790979300,Alabama,979300,5000,0,0
G0100790979500,Alabama,979500,5848,0,0
G0100890001700,Alabama,1700,1842,0,0
G0100890001902,Alabama,1902,1238,0,0
G0100890002000,Alabama,2000,2128,0,0
G0100930964000,Alabama,964000,4355,0,0
G0100930964100,Alabama,964100,2580,0,0
G0100930964500,Alabama,964500,2361,0,0
G0100950030100,Alabama,30100,3160,0,0
G0101030005701,Alabama,5701,2893,0,0
G0101270020700,Alabama,20700,2915,0,0
G0101270021200,Alabama,21200,2931,0,0
G0101330965501,Alabama,965501,2516,0,0
G0101330965502,Alabama,965502,2514,0,0
G0101330965503,Alabama,965503,2797,0,0
G0101330965900,Alabama,965900,2193,0,0
G0100030011407,Alabama,11407,5123,1,0.02
G0100950031000,Alabama,31000,5701,2,0.04
G0101270020900,Alabama,20900,4844,3,0.06
G0100490960700,Alabama,960700,9133,6,0.07
G0100490961200,Alabama,961200,2358,2,0.08
G0100950031200,Alabama,31200,6035,5,0.08
G0100950030904,Alabama,30904,5657,5,0.09
G0100090050200,Alabama,50200,3572,4,0.11
G0100430965300,Alabama,965300,4539,5,0.11
G0100950030202,Alabama,30202,4560,6,0.13
G0100950030402,Alabama,30402,3430,6,0.17
G0100090050300,Alabama,50300,4937,9,0.18
G0100550011100,Alabama,11100,5559,10,0.18
G0100490960600,Alabama,960600,5941,11,0.19
G0100430964500,Alabama,964500,4613,9,0.2
G0100210060200,Alabama,60200,2748,6,0.22
G0100890011400,Alabama,11400,4263,10,0.23
G0100290959500,Alabama,959500,2886,7,0.24
G0100890001901,Alabama,1901,3710,9,0.24
G0100390962300,Alabama,962300,3102,8,0.26
G0100430965200,Alabama,965200,2664,7,0.26
G0101270021000,Alabama,21000,3788,10,0.26
G0100490961400,Alabama,961400,4265,12,0.28
G0100730010802,Alabama,10802,3470,10,0.29
G0101030005600,Alabama,5600,5793,17,0.29
G0100790979800,Alabama,979800,3328,10,0.3
G0100730011500,Alabama,11500,5516,17,0.31
G0100790979600,Alabama,979600,4883,15,0.31
G0100710950400,Alabama,950400,2121,7,0.33
G0100210060300,Alabama,60300,3658,13,0.36
G0100090050700,Alabama,50700,8715,33,0.38
G0101330965700,Alabama,965700,4111,17,0.41
G0100430964600,Alabama,964600,3831,16,0.42
G0100590973700,Alabama,973700,5879,25,0.43
G0100770011300,Alabama,11300,2239,10,0.45
G0100310010600,Alabama,10600,1510,7,0.46
G0100770011801,Alabama,11801,4670,22,0.47
G0100950030500,Alabama,30500,7270,34,0.47
G0100770011400,Alabama,11400,6559,33,0.5
G0101150040402,Alabama,40402,3810,20,0.52
G0100950030300,Alabama,30300,6779,36,0.53
G0100970003502,Alabama,3502,2470,13,0.53
G0100490961000,Alabama,961000,4067,22,0.54
G0100030011602,Alabama,11602,5455,31,0.57
G0100390962800,Alabama,962800,1842,11,0.6
G0100770011602,Alabama,11602,4754,29,0.61
G0101030000200,Alabama,200,3580,22,0.61
G0101330965800,Alabama,965800,4674,29,0.62
G0100430965700,Alabama,965700,3026,21,0.69
G0101030005500,Alabama,5500,5801,40,0.69
G0101270020600,Alabama,20600,2529,18,0.71
G0100950030902,Alabama,30902,4175,30,0.72
G0100290959800,Alabama,959800,4515,33,0.73
G0100950030401,Alabama,30401,4505,34,0.75
G0100430964300,Alabama,964300,5022,38,0.76
G0100490961100,Alabama,961100,3271,26,0.79
G0100710951100,Alabama,951100,6993,55,0.79
G0100490960500,Alabama,960500,5441,44,0.81
