GISJOIN,STATE,TRACTA,INCOME,ERROR
G2200710014000,Louisiana,14000,11307,728
G3900350119100,Ohio,119100,39009,765
G0600370206300,California,206300,10262,804
G1302150002500,Georgia,2500,8938,868
G4001090109100,Oklahoma,109100,9179,871
G2500050651800,Massachusetts,651800,13313,896
G2101110003000,Kentucky,3000,9232,912
G2701230033700,Minnesota,33700,16089,980
G3600470035200,New York,35200,12302,1034
G4200490000100,Pennsylvania,100,11152,1049
G3600670004302,New York,4302,9956,1079
G0800310000800,Colorado,800,9578,1086
G3600090940300,New York,940300,30443,1100
G4200210000100,Pennsylvania,100,13413,1102
G3900950002900,Ohio,2900,8871,1118
G7200130301900,Puerto Rico,301900,8568,1121
G0600790010901,California,10901,5645,1138
G4200130101900,Pennsylvania,101900,12402,1144
G3600470091000,New York,91000,11560,1152
G2601630553400,Michigan,553400,10396,1158
G2600490003400,Michigan,3400,8973,1167
G1201050016400,Florida,16400,20996,1170
G1701870870400,Illinois,870400,38985,1179
G7200130301300,Puerto Rico,301300,2924,1188
G4701570000200,Tennessee,200,13865,1191
G2001810453600,Kansas,453600,51223,1194
G4804530001863,Texas,1863,36798,1204
G7201270008201,Puerto Rico,8201,2692,1216
G2300010020100,Maine,20100,13795,1223
G1200090065124,Florida,65124,21310,1226
G0600190006900,California,6900,31250,1238
G0600370572800,California,572800,18484,1242
G7200970081000,Puerto Rico,81000,7134,1243
G7201130070300,Puerto Rico,70300,8919,1277
G4700650001600,Tennessee,1600,12102,1278
G3900350109801,Ohio,109801,8733,1282
G2500170388300,Massachusetts,388300,13825,1288
G2900950012501,Missouri,12501,41194,1290
G1200570004300,Florida,4300,8804,1299
G3500370958602,New Mexico,958602,20892,1300
G5107100004100,Virginia,4100,12321,1308
G7201130071300,Puerto Rico,71300,4921,1309
G5500990970700,Wisconsin,970700,43019,1310
G1700310461000,Illinois,461000,14385,1322
G0101250012600,Alabama,12600,23120,1331
G0900090350100,Connecticut,350100,11974,1332
G3600670004301,New York,4301,10081,1334
G4200030981800,Pennsylvania,981800,19375,1338
G7201270003100,Puerto Rico,3100,16298,1355
G2901830310700,Missouri,310700,36443,1362
G2500250010103,Massachusetts,10103,31218,1364
G1700610973700,Illinois,973700,31147,1375
G7200550961000,Puerto Rico,961000,11651,1392
G0600370221401,California,221401,21545,1402
G2601470624000,Michigan,624000,14624,1403
G0600290006404,California,6404,28494,1420
G5300650950700,Washington,950700,31367,1424
G1700190000301,Illinois,301,7166,1427
G1700310840800,Illinois,840800,31648,1427
G1800890020600,Indiana,20600,11096,1430
G4001430003000,Oklahoma,3000,30839,1438
G7200970080900,Puerto Rico,80900,11065,1441
G3600470011400,New York,11400,43965,1445
G2801510000400,Mississippi,400,13831,1450
G5107100004800,Virginia,4800,11900,1453
G1302150010801,Georgia,10801,53889,1458
G3600470019200,New York,19200,41442,1462
G7200690180202,Puerto Rico,180202,16073,1463
G1200860009904,Florida,9904,36190,1469
G2801130950500,Mississippi,950500,31088,1470
G5500790186400,Wisconsin,186400,11766,1472
G3600070001100,New York,1100,15539,1474
G3200310001901,Nevada,1901,29516,1475
G0100690040600,Alabama,40600,14349,1476
G0100890002300,Alabama,2300,29090,1476
G3901510700100,Ohio,700100,10675,1477
G3600130030500,New York,30500,14745,1477
G7200250201200,Puerto Rico,201200,11806,1482
G4701570011500,Tennessee,11500,25955,1487
G0501110490500,Arkansas,490500,41158,1494
G0100690041200,Alabama,41200,16234,1499
G7201270004700,Puerto Rico,4700,16453,1500
G7201250840100,Puerto Rico,840100,13204,1502
G2800470002600,Mississippi,2600,19668,1506
G3200030002207,Nevada,2207,26703,1508
G1200860001803,Florida,1803,13704,1512
G5300150002100,Washington,2100,21307,1512
G4804390113703,Texas,113703,83592,1512
G4201010003600,Pennsylvania,3600,18720,1513
G3900610008502,Ohio,8502,7044,1515
G1300030960200,Georgia,960200,33322,1524
G1201150002003,Florida,2003,46063,1529
G4802010532700,Texas,532700,41388,1539
G4701570011400,Tennessee,11400,11361,1544
G7200970082103,Puerto Rico,82103,10621,1548
G4900490001603,Utah,1603,20295,1553
G1702010002900,Illinois,2900,13567,1555
G0100390962600,Alabama,962600,25520,1564
G0600710009912,California,9912,25661,1567
G3901390002102,Ohio,2102,66157,1568
G1200710001102,Florida,1102,28912,1569
G7200010956800,Puerto Rico,956800,15791,1572
G3500310946000,New Mexico,946000,19013,1574
G2200710008500,Louisiana,8500,10694,1577
G5500790013500,Wisconsin,13500,16250,1578
G3900810000200,Ohio,200,11300,1580
G0601070003200,California,3200,32048,1583
G7201230952700,Puerto Rico,952700,9935,1586
G7200430954300,Puerto Rico,954300,11166,1589
G1200570000901,Florida,901,32298,1589
G0600590088106,California,88106,53750,1591
G0100730004000,Alabama,4000,17299,1592
G7201030170200,Puerto Rico,170200,18794,1594
G2100130960200,Kentucky,960200,21479,1603
G5400470954200,West Virginia,954200,26027,1603
G0600670000700,California,700,12426,1604
G2601570000300,Michigan,300,45772,1609
G3000130001200,Montana,1200,48787,1614
G2601630518900,Michigan,518900,13867,1615
G4801130013622,Texas,13622,51495,1616
G4700370019300,Tennessee,19300,10485,1619
G7200970080400,Puerto Rico,80400,13292,1620
G2601630543200,Michigan,543200,36090,1623
G3700510002401,North Carolina,2401,22025,1627
G2200610960800,Louisiana,960800,21516,1634
G2901890213800,Missouri,213800,31435,1638
G4100050022108,Oregon,22108,36481,1642
G7200250200900,Puerto Rico,200900,11596,1645
G2300010010100,Maine,10100,19817,1645
G4001430008001,Oklahoma,8001,13341,1646
G3600470025500,New York,25500,20776,1650
G3901190912100,Ohio,912100,19379,1653
G5500350001101,Wisconsin,1101,20633,1653
G7201270001302,Puerto Rico,1302,2702,1656
G0600370119340,California,119340,28403,1656
G4001430006000,Oklahoma,6000,36296,1656
G7200470530300,Puerto Rico,530300,8838,1658
G1700310350400,Illinois,350400,10980,1658
G2601630510700,Michigan,510700,16719,1661
G3701330000800,North Carolina,800,33619,1664
G3900350112100,Ohio,112100,12053,1666
G3900350113101,Ohio,113101,10423,1668
G0200500000100,Alaska,100,37457,1669
G4800270022103,Texas,22103,51487,1682
G3900350109701,Ohio,109701,9420,1683
G2101110005100,Kentucky,5100,14730,1686
G7200010956400,Puerto Rico,956400,12339,1687
G7201270003000,Puerto Rico,3000,16237,1687
G2601630552800,Michigan,552800,18908,1687
G3600070001200,New York,1200,16420,1689
G1901690000500,Iowa,500,14067,1691
G7200210031124,Puerto Rico,31124,15491,1691
G3701650010200,North Carolina,10200,18471,1696
G2900830950100,Missouri,950100,38598,1697
G4500410002300,South Carolina,2300,36148,1698
G2100370050100,Kentucky,50100,15855,1700
G7201210960700,Puerto Rico,960700,13141,1705
G1800970350500,Indiana,350500,23545,1706
G0400010942700,Arizona,942700,24277,1706
G2701370001900,Minnesota,1900,12591,1707
G3500430940900,New Mexico,940900,17683,1707
G5300590950500,Washington,950500,38923,1710
G7201490720502,Puerto Rico,720502,15977,1712
G3200030000513,Nevada,513,34122,1713
G0100690041400,Alabama,41400,24160,1717
G1700310351100,Illinois,351100,10825,1725
G7201010955401,Puerto Rico,955401,20899,1727
G0501430010402,Arkansas,10402,46355,1730
G0900030500300,Connecticut,500300,23368,1731
G2601490041300,Michigan,41300,50922,1731
G1201090021403,Florida,21403,78596,1733
G0400010944902,Arizona,944902,18462,1734
G4001430001500,Oklahoma,1500,34141,1734
G7200050400800,Puerto Rico,400800,11491,1735
G0101010001200,Alabama,1200,15885,1738
G0600730017801,California,17801,83657,1738
G7201130073003,Puerto Rico,73003,8470,1739
G0400190002300,Arizona,2300,21160,1739
G0101010003200,Alabama,3200,41431,1745
G3701190001607,North Carolina,1607,32141,1748
G1800710967901,Indiana,967901,30843,1749
G0600470001601,California,1601,21250,1750
G4200110011200,Pennsylvania,11200,41344,1752
G2100150070307,Kentucky,70307,90992,1753
G7200590740101,Puerto Rico,740101,13903,1755
G2601210000300,Michigan,300,23262,1756
G7201130072300,Puerto Rico,72300,11362,1757
G1801630002000,Indiana,2000,18750,1761
G2801510000600,Mississippi,600,13688,1763
G4200030050900,Pennsylvania,50900,16238,1764
G7201270003700,Puerto Rico,3700,14375,1765
G2600250003700,Michigan,3700,50718,1767
G0201800000100,Alaska,100,38944,1772
G4200090961000,Pennsylvania,961000,50560,1772
G3600170970900,New York,970900,51814,1772
G7200050401301,Puerto Rico,401301,11764,1773
G4801410003000,Texas,3000,18653,1777
G2900950002100,Missouri,2100,20547,1777
G0600710004401,California,4401,43294,1779
G1700310430500,Illinois,430500,19129,1781
G7201130073009,Puerto Rico,73009,14768,1784
G0600730012401,California,12401,41588,1790
G4900030960100,Utah,960100,61350,1792
G0900090171000,Connecticut,171000,33679,1797
G0400130110001,Arizona,110001,41086,1797
G1600090940000,Idaho,940000,41250,1797
G2800470002400,Mississippi,2400,15330,1799
G2601630584800,Michigan,584800,19226,1799
G1702010002000,Illinois,2000,30871,1802
G0100770010300,Alabama,10300,14382,1803
G7201270003501,Puerto Rico,3501,6629,1808
G2600490002900,Michigan,2900,13393,1808
G3900550312300,Ohio,312300,46147,1810
G4200070605600,Pennsylvania,605600,51497,1811
G4803550001802,Texas,1802,51218,1814
G3600670004200,New York,4200,11763,1818
G4001430000700,Oklahoma,700,29344,1819
G1201270092500,Florida,92500,25588,1820
G1300670031001,Georgia,31001,26719,1821
