geo_code,geo_label,geo_labelw,IMD_Rank,IMD_Decile,IUC_CODE,IUC_LABEL
E01008331,Newcastle upon Tyne 029A,,"1,457","1","7",Passive and Uncommitted Users
E01008333,Newcastle upon Tyne 029C,,"1,996","1","10",e-Withdrawn
E01008415,Newcastle upon Tyne 025B,,"3,007","1","7",Passive and Uncommitted Users
E01008294,Newcastle upon Tyne 001A,,"23,787","8","6",e-Mainstream
E01008312,Newcastle upon Tyne 001F,,"27,667","9","6",e-Mainstream
E01008404,Newcastle upon Tyne 014E,,"12,680","4","7",Passive and Uncommitted Users
E01008386,Newcastle upon Tyne 021F,,"16,602","6","7",Passive and Uncommitted Users
E01008395,Newcastle upon Tyne 024B,,"6,836","3","7",Passive and Uncommitted Users
E01008422,Newcastle upon Tyne 005E,,"31,670","10","2",e-Professionals
E01008403,Newcastle upon Tyne 014D,,"21,647","7","9",Settled Offline Communities
E01008363,Newcastle upon Tyne 012E,,"23,288","8","6",e-Mainstream
E01008304,Newcastle upon Tyne 026C,,"221","1","10",e-Withdrawn
E01008355,Newcastle upon Tyne 006B,,"29,881","10","3",e-Veterans
E01008385,Newcastle upon Tyne 021E,,"5,068","2","7",Passive and Uncommitted Users
E01008412,Newcastle upon Tyne 023E,,"23,583","8","2",e-Professionals
E01008397,Newcastle upon Tyne 024C,,"16,382","5","1",e-Cultural Creators
E01008372,Newcastle upon Tyne 013D,,"25,350","8","1",e-Cultural Creators
E01008366,Newcastle upon Tyne 013A,,"31,127","10","1",e-Cultural Creators
E01033553,Newcastle upon Tyne 023H,,"13,855","5","1",e-Cultural Creators
E01008353,Newcastle upon Tyne 006A,,"10,088","4","7",Passive and Uncommitted Users
E01008339,Newcastle upon Tyne 003D,,"3,333","2","7",Passive and Uncommitted Users
E01008450,Newcastle upon Tyne 016B,,"4,244","2","7",Passive and Uncommitted Users
E01008352,Newcastle upon Tyne 002C,,"16,574","6","6",e-Mainstream
E01008328,Newcastle upon Tyne 015E,,"26,567","9","9",Settled Offline Communities
E01008401,Newcastle upon Tyne 014B,,"7,527","3","10",e-Withdrawn
E01008382,Newcastle upon Tyne 021B,,"960","1","10",e-Withdrawn
E01008435,Newcastle upon Tyne 020E,,"4,538","2","10",e-Withdrawn
E01008428,Newcastle upon Tyne 030D,,"3,676","2","10",e-Withdrawn
E01008298,Newcastle upon Tyne 011C,,"7,324","3","7",Passive and Uncommitted Users
E01008354,Newcastle upon Tyne 005B,,"17,914","6","3",e-Veterans
E01008381,Newcastle upon Tyne 021A,,"19,212","6","6",e-Mainstream
E01008371,Newcastle upon Tyne 013C,,"32,368","10","3",e-Veterans
E01008453,Newcastle upon Tyne 022E,,"19,497","6","3",e-Veterans
E01033547,Newcastle upon Tyne 025E,,"665","1","10",e-Withdrawn
E01008446,Newcastle upon Tyne 031E,,"27,104","9","9",Settled Offline Communities
E01008332,Newcastle upon Tyne 029B,,"296","1","10",e-Withdrawn
E01008350,Newcastle upon Tyne 019H,,"8,853","3","7",Passive and Uncommitted Users
E01008340,Newcastle upon Tyne 003E,,"1,136","1","10",e-Withdrawn
E01008431,Newcastle upon Tyne 020B,,"13,740","5","7",Passive and Uncommitted Users
E01008436,Newcastle upon Tyne 020F,,"1,639","1","10",e-Withdrawn
E01008334,Newcastle upon Tyne 029D,,"5,096","2","7",Passive and Uncommitted Users
E01008405,Newcastle upon Tyne 014F,,"7,877","3","7",Passive and Uncommitted Users
E01008309,Newcastle upon Tyne 002A,,"32,779","10","5",e-Rational Utilitarians
E01008391,Newcastle upon Tyne 026E,,"885","1","10",e-Withdrawn
E01008376,Newcastle upon Tyne 008D,,"28,713","9","3",e-Veterans
E01008447,Newcastle upon Tyne 031F,,"25,997","8","9",Settled Offline Communities
E01008396,Newcastle upon Tyne 022B,,"9,164","3","1",e-Cultural Creators
E01008406,Newcastle upon Tyne 023A,,"8,382","3","7",Passive and Uncommitted Users
E01008358,Newcastle upon Tyne 002E,,"17,684","6","6",e-Mainstream
E01008441,Newcastle upon Tyne 031A,,"7,160","3","7",Passive and Uncommitted Users
E01008356,Newcastle upon Tyne 006C,,"15,731","5","6",e-Mainstream
E01008357,Newcastle upon Tyne 002D,,"32,650","10","3",e-Veterans
E01008345,Newcastle upon Tyne 019C,,"3,117","1","10",e-Withdrawn
E01008337,Newcastle upon Tyne 003B,,"6,920","3","10",e-Withdrawn
E01008411,Newcastle upon Tyne 017E,,"21,692","7","1",e-Cultural Creators
E01008324,Newcastle upon Tyne 015A,,"5,058","2","10",e-Withdrawn
E01008297,Newcastle upon Tyne 011B,,"1,662","1","10",e-Withdrawn
E01008329,Newcastle upon Tyne 015F,,"13,225","5","7",Passive and Uncommitted Users
E01008359,Newcastle upon Tyne 018B,,"14,838","5","1",e-Cultural Creators
E01008303,Newcastle upon Tyne 018A,,"726","1","10",e-Withdrawn
E01008394,Newcastle upon Tyne 024A,,"19,369","6","1",e-Cultural Creators
E01008338,Newcastle upon Tyne 003C,,"6,494","2","7",Passive and Uncommitted Users
E01008349,Newcastle upon Tyne 019G,,"8,444","3","7",Passive and Uncommitted Users
E01033545,Newcastle upon Tyne 024H,,"6,242","2","2",e-Professionals
E01033548,Newcastle upon Tyne 023G,,"7,644","3","4",Youthful Urban Fringe
E01008426,Newcastle upon Tyne 028C,,"512","1","10",e-Withdrawn
E01008439,Newcastle upon Tyne 024E,,"297","1","10",e-Withdrawn
E01008434,Newcastle upon Tyne 020D,,"20,508","7","8",Digital Seniors
E01008326,Newcastle upon Tyne 015C,,"25,263","8","6",e-Mainstream
E01008322,Newcastle upon Tyne 007E,,"29,639","10","6",e-Mainstream
E01008445,Newcastle upon Tyne 031D,,"12,912","4","7",Passive and Uncommitted Users
E01008289,Newcastle upon Tyne 027B,,"1,845","1","10",e-Withdrawn
E01008341,Newcastle upon Tyne 003F,,"5,512","2","7",Passive and Uncommitted Users
E01008336,Newcastle upon Tyne 003A,,"5,696","2","7",Passive and Uncommitted Users
E01008351,Newcastle upon Tyne 005A,,"23,608","8","6",e-Mainstream
E01008383,Newcastle upon Tyne 021C,,"5,333","2","7",Passive and Uncommitted Users
