IMD,IMD_LSOA_Count,AirQuality_Count,AirQuality_Per,Beehives_Count,Beehives_Per,Noise_Count,Noise_Per,People_Count,People_Per,Traffic_Count,Traffic_Per,Vehicles_Count,Vehicles_Per,WaterLevel_Count,WaterLevel_Per,WaterQuality_Count,WaterQuality_Per,Weather_Count,Weather_Per
1,39,3,7.69,2,5.13,1,2.56,6,15.38,10,25.64,7,17.95,0,0,0,0,7,17.95
2,24,3,12.5,1,4.17,2,8.33,4,16.67,5,20.83,4,16.67,0,0,0,0,7,29.17
3,18,4,22.22,0,0,2,11.11,3,16.67,5,27.78,3,16.67,0,0,0,0,5,27.78
4,10,2,20,1,10,1,10,2,20,5,50,3,30,0,0,0,0,2,20
5,17,5,29.41,0,0,2,11.76,5,29.41,5,29.41,5,29.41,0,0,0,0,9,52.94
6,9,1,11.11,0,0,1,11.11,0,0,2,22.22,0,0,1,11.11,1,11.11,4,44.44
7,13,3,23.08,0,0,1,7.69,1,7.69,3,23.08,1,7.69,0,0,0,0,5,38.46
8,11,7,63.64,0,0,3,27.27,5,45.45,2,18.18,5,45.45,1,9.09,2,18.18,8,72.73
9,14,3,21.43,1,7.14,2,14.29,1,7.14,2,14.29,1,7.14,0,0,2,14.29,6,42.86
10,20,7,35,2,10,4,20,4,20,9,45,4,20,1,5,0,0,11,55
