LSOA_Code,LSOA_Name,IMD_Decile,Sensor
E01008288,Newcastle upon Tyne 027A,3,0
E01008289,Newcastle upon Tyne 027B,1,0
E01008291,Newcastle upon Tyne 027D,1,0
E01008292,Newcastle upon Tyne 027E,9,0
E01008293,Newcastle upon Tyne 004A,5,0
E01008294,Newcastle upon Tyne 001A,8,0
E01008297,Newcastle upon Tyne 011B,1,0
E01008298,Newcastle upon Tyne 011C,3,0
E01008301,Newcastle upon Tyne 026A,2,0
E01008304,Newcastle upon Tyne 026C,1,0
E01008305,Newcastle upon Tyne 026D,1,0
E01008307,Newcastle upon Tyne 001C,2,0
E01008309,Newcastle upon Tyne 002A,10,0
E01008312,Newcastle upon Tyne 001F,9,0
E01008313,Newcastle upon Tyne 001G,7,0
E01008316,Newcastle upon Tyne 012C,9,0
E01008317,Newcastle upon Tyne 007A,10,0
E01008325,Newcastle upon Tyne 015B,1,0
E01008327,Newcastle upon Tyne 015D,1,0
E01008329,Newcastle upon Tyne 015F,5,0
E01008330,Newcastle upon Tyne 015G,2,0
E01008332,Newcastle upon Tyne 029B,1,0
E01008334,Newcastle upon Tyne 029D,2,0
E01008335,Newcastle upon Tyne 029E,2,0
E01008336,Newcastle upon Tyne 003A,2,0
E01008337,Newcastle upon Tyne 003B,3,0
E01008339,Newcastle upon Tyne 003D,2,0
E01008340,Newcastle upon Tyne 003E,1,0
E01008342,Newcastle upon Tyne 003G,7,0
E01008344,Newcastle upon Tyne 019B,3,0
E01008347,Newcastle upon Tyne 019E,4,0
E01008348,Newcastle upon Tyne 019F,1,0
E01008349,Newcastle upon Tyne 019G,3,0
E01008350,Newcastle upon Tyne 019H,3,0
E01008352,Newcastle upon Tyne 002C,6,0
E01008353,Newcastle upon Tyne 006A,4,0
E01008360,Newcastle upon Tyne 018C,7,0
E01008366,Newcastle upon Tyne 013A,10,0
E01008368,Newcastle upon Tyne 017B,9,0
E01008371,Newcastle upon Tyne 013C,10,0
E01008372,Newcastle upon Tyne 013D,8,0
E01008373,Newcastle upon Tyne 013E,10,0
E01008374,Newcastle upon Tyne 008B,7,0
E01008376,Newcastle upon Tyne 008D,9,0
E01008378,Newcastle upon Tyne 006D,10,0
E01008379,Newcastle upon Tyne 008F,3,0
E01008382,Newcastle upon Tyne 021B,1,0
E01008383,Newcastle upon Tyne 021C,2,0
E01008384,Newcastle upon Tyne 021D,5,0
E01008386,Newcastle upon Tyne 021F,6,0
E01008387,Newcastle upon Tyne 021G,6,0
E01008388,Newcastle upon Tyne 028A,1,0
E01008389,Newcastle upon Tyne 028B,1,0
E01008390,Newcastle upon Tyne 030A,1,0
E01008391,Newcastle upon Tyne 026E,1,0
E01008399,Newcastle upon Tyne 024D,1,0
E01008400,Newcastle upon Tyne 014A,1,0
E01008401,Newcastle upon Tyne 014B,3,0
E01008403,Newcastle upon Tyne 014D,7,0
E01008404,Newcastle upon Tyne 014E,4,0
E01008411,Newcastle upon Tyne 017E,7,0
E01008413,Newcastle upon Tyne 023F,4,0
E01008418,Newcastle upon Tyne 005C,10,0
E01008420,Newcastle upon Tyne 005D,10,0
E01008425,Newcastle upon Tyne 030B,1,0
E01008426,Newcastle upon Tyne 028C,1,0
E01008427,Newcastle upon Tyne 030C,1,0
E01008429,Newcastle upon Tyne 028D,1,0
E01008430,Newcastle upon Tyne 020A,2,0
E01008431,Newcastle upon Tyne 020B,5,0
E01008434,Newcastle upon Tyne 020D,7,0
E01008435,Newcastle upon Tyne 020E,2,0
E01008441,Newcastle upon Tyne 031A,3,0
E01008442,Newcastle upon Tyne 031B,9,0
E01008446,Newcastle upon Tyne 031E,9,0
E01008448,Newcastle upon Tyne 031G,9,0
E01008449,Newcastle upon Tyne 022D,3,0
E01008450,Newcastle upon Tyne 016B,2,0
E01008451,Newcastle upon Tyne 016C,4,0
E01008452,Newcastle upon Tyne 016D,8,0
E01008456,Newcastle upon Tyne 004B,2,0
E01008457,Newcastle upon Tyne 004C,2,0
E01008459,Newcastle upon Tyne 004E,1,0
E01008460,Newcastle upon Tyne 004F,2,0
E01008290,Newcastle upon Tyne 027C,1,1
E01008295,Newcastle upon Tyne 008A,1,1
E01008296,Newcastle upon Tyne 011A,2,1
E01008299,Newcastle upon Tyne 011D,1,1
E01008300,Newcastle upon Tyne 016A,2,1
E01008302,Newcastle upon Tyne 026B,1,1
E01008303,Newcastle upon Tyne 018A,1,1
E01008306,Newcastle upon Tyne 001B,5,1
E01008308,Newcastle upon Tyne 001D,4,1
E01008311,Newcastle upon Tyne 001E,9,1
E01008314,Newcastle upon Tyne 012A,7,1
E01008315,Newcastle upon Tyne 012B,7,1
E01008318,Newcastle upon Tyne 012D,3,1
E01008319,Newcastle upon Tyne 007B,10,1
E01008320,Newcastle upon Tyne 007C,7,1
E01008321,Newcastle upon Tyne 007D,10,1
E01008322,Newcastle upon Tyne 007E,10,1
E01008323,Newcastle upon Tyne 007F,7,1
E01008324,Newcastle upon Tyne 015A,2,1
E01008326,Newcastle upon Tyne 015C,8,1
E01008328,Newcastle upon Tyne 015E,9,1
E01008331,Newcastle upon Tyne 029A,1,1
E01008333,Newcastle upon Tyne 029C,1,1
E01008338,Newcastle upon Tyne 003C,2,1
E01008341,Newcastle upon Tyne 003F,2,1
E01008343,Newcastle upon Tyne 019A,5,1
E01008345,Newcastle upon Tyne 019C,1,1
E01008346,Newcastle upon Tyne 019D,5,1
E01008351,Newcastle upon Tyne 005A,8,1
E01008354,Newcastle upon Tyne 005B,6,1
E01008355,Newcastle upon Tyne 006B,10,1
E01008356,Newcastle upon Tyne 006C,5,1
E01008357,Newcastle upon Tyne 002D,10,1
E01008358,Newcastle upon Tyne 002E,6,1
E01008359,Newcastle upon Tyne 018B,5,1
E01008361,Newcastle upon Tyne 018D,4,1
E01008362,Newcastle upon Tyne 018E,5,1
E01008363,Newcastle upon Tyne 012E,8,1
E01008364,Newcastle upon Tyne 018F,7,1
E01008365,Newcastle upon Tyne 012F,10,1
E01008367,Newcastle upon Tyne 017A,9,1
E01008369,Newcastle upon Tyne 013B,9,1
E01008370,Newcastle upon Tyne 017C,8,1
E01008375,Newcastle upon Tyne 008C,3,1
E01008377,Newcastle upon Tyne 008E,2,1
E01008380,Newcastle upon Tyne 008G,1,1
E01008381,Newcastle upon Tyne 021A,6,1
E01008385,Newcastle upon Tyne 021E,2,1
E01008392,Newcastle upon Tyne 026F,1,1
E01008394,Newcastle upon Tyne 024A,6,1
E01008395,Newcastle upon Tyne 024B,3,1
E01008396,Newcastle upon Tyne 022B,3,1
E01008397,Newcastle upon Tyne 024C,5,1
E01008398,Newcastle upon Tyne 022C,1,1
E01008402,Newcastle upon Tyne 014C,5,1
E01008405,Newcastle upon Tyne 014F,3,1
E01008406,Newcastle upon Tyne 023A,3,1
E01008407,Newcastle upon Tyne 023B,5,1
E01008409,Newcastle upon Tyne 017D,8,1
E01008410,Newcastle upon Tyne 023D,5,1
E01008412,Newcastle upon Tyne 023E,8,1
E01008415,Newcastle upon Tyne 025B,1,1
E01008416,Newcastle upon Tyne 025C,5,1
E01008419,Newcastle upon Tyne 006E,10,1
E01008421,Newcastle upon Tyne 006F,10,1
E01008422,Newcastle upon Tyne 005E,10,1
E01008423,Newcastle upon Tyne 006G,10,1
E01008424,Newcastle upon Tyne 005F,7,1
E01008428,Newcastle upon Tyne 030D,2,1
E01008432,Newcastle upon Tyne 026G,3,1
E01008433,Newcastle upon Tyne 020C,6,1
E01008436,Newcastle upon Tyne 020F,1,1
E01008437,Newcastle upon Tyne 029F,1,1
E01008438,Newcastle upon Tyne 029G,1,1
E01008439,Newcastle upon Tyne 024E,1,1
E01008443,Newcastle upon Tyne 014G,9,1
E01008444,Newcastle upon Tyne 031C,9,1
E01008445,Newcastle upon Tyne 031D,4,1
E01008447,Newcastle upon Tyne 031F,8,1
E01008453,Newcastle upon Tyne 022E,6,1
E01008455,Newcastle upon Tyne 022G,4,1
E01008458,Newcastle upon Tyne 004D,8,1
E01033543,Newcastle upon Tyne 024G,4,1
E01033545,Newcastle upon Tyne 024H,2,1
E01033547,Newcastle upon Tyne 025E,1,1
E01033548,Newcastle upon Tyne 023G,3,1
